,Keyword,Layout,LoggingLibrary,ProjectInfo,SearchResult
14,Firebase,Firebase,Firebase,androidstarters/android-starter,"['/androidstarters_android-starter/app/dependencies.gradle', '/androidstarters_android-starter/circle.yml', '/androidstarters_android-starter/scripts/remoteTesting.sh']"
15,Firebase,Firebase,Firebase,pusher/pusher-websocket-android,"['/pusher_pusher-websocket-android/Example/build.gradle', '/pusher_pusher-websocket-android/Example/src/main/AndroidManifest.xml', '/pusher_pusher-websocket-android/Example/src/main/java/pusher/example/CustomFCMMessagingService.java', '/pusher_pusher-websocket-android/Example/src/main/java/pusher/example/MainActivity.java', '/pusher_pusher-websocket-android/Library/build.gradle', '/pusher_pusher-websocket-android/Library/src/main/AndroidManifest.xml', '/pusher_pusher-websocket-android/Library/src/main/java/com/pusher/android/PusherAndroid.java', '/pusher_pusher-websocket-android/Library/src/main/java/com/pusher/android/notifications/PushNotificationRegistration.java', '/pusher_pusher-websocket-android/Library/src/main/java/com/pusher/android/notifications/fcm/FCMInstanceIDService.java', '/pusher_pusher-websocket-android/Library/src/main/java/com/pusher/android/notifications/fcm/FCMMessagingService.java', '/pusher_pusher-websocket-android/Library/src/main/java/com/pusher/android/notifications/fcm/FCMPushNotificationReceivedListener.java']"
19,Firebase,Firebase,Firebase,vikramkakkar/SublimePicker,['/vikramkakkar_SublimePicker/.gitignore']
20,Firebase,Firebase,Firebase,magnusja/libaums,['/magnusja_libaums/.gitignore']
21,Firebase,Firebase,Firebase,awslabs/aws-mobile-appsync-sdk-android,['/awslabs_aws-mobile-appsync-sdk-android/.gitignore']
24,Firebase,Firebase,Firebase,akshika47/OpencvAndroid,"['/akshika47_OpencvAndroid/app/app.iml', '/akshika47_OpencvAndroid/app/build.gradle']"
25,Firebase,Firebase,Firebase,prey/prey-android-client,"['/prey_prey-android-client/app/app.iml', '/prey_prey-android-client/app/build.gradle', '/prey_prey-android-client/app/src/main/AndroidManifest.xml', '/prey_prey-android-client/app/src/main/java/com/prey/PreyApp.java', '/prey_prey-android-client/app/src/main/java/com/prey/PreyConfig.java', '/prey_prey-android-client/app/src/main/java/com/prey/services/MyFirebaseMessagingService.java']"
26,Firebase,Firebase,Firebase,Grarak/KernelAdiutor,"['/Grarak_KernelAdiutor/README.md', '/Grarak_KernelAdiutor/app/build.gradle', '/Grarak_KernelAdiutor/app/licenses.yml', '/Grarak_KernelAdiutor/app/proguard-rules.pro']"
27,Firebase,Firebase,Firebase,modzero/modjoda,['/modzero_modjoda/deserialization_sender/build/intermediates/lint-cache/maven.google/master-index.xml']
28,Firebase,Firebase,Firebase,k0shk0sh/FastAccess,"['/k0shk0sh_FastAccess/README.md', '/k0shk0sh_FastAccess/app/build.gradle', '/k0shk0sh_FastAccess/app/src/main/AndroidManifest.xml', '/k0shk0sh_FastAccess/app/src/main/java/com/fastaccess/App.java', '/k0shk0sh_FastAccess/app/src/main/java/com/fastaccess/data/dao/AppsModel.java', '/k0shk0sh_FastAccess/app/src/main/java/com/fastaccess/data/dao/BackupRestoreModel.java', '/k0shk0sh_FastAccess/app/src/main/java/com/fastaccess/provider/analytics/Analytics.java', '/k0shk0sh_FastAccess/app/src/main/java/com/fastaccess/provider/push/PushNotification.java', '/k0shk0sh_FastAccess/app/src/main/java/com/fastaccess/ui/modules/cloud/auth/LoginMvp.java', '/k0shk0sh_FastAccess/app/src/main/java/com/fastaccess/ui/modules/cloud/auth/LoginPresenter.java', '/k0shk0sh_FastAccess/app/src/main/java/com/fastaccess/ui/modules/cloud/auth/LoginView.java', '/k0shk0sh_FastAccess/app/src/main/java/com/fastaccess/ui/modules/cloud/backup/BackupMvp.java', '/k0shk0sh_FastAccess/app/src/main/java/com/fastaccess/ui/modules/cloud/backup/BackupPresenter.java', '/k0shk0sh_FastAccess/app/src/main/java/com/fastaccess/ui/modules/cloud/backup/BackupView.java', '/k0shk0sh_FastAccess/app/src/main/java/com/fastaccess/ui/modules/cloud/restore/RestoreMvp.java', '/k0shk0sh_FastAccess/app/src/main/java/com/fastaccess/ui/modules/cloud/restore/RestorePresenter.java', '/k0shk0sh_FastAccess/app/src/main/java/com/fastaccess/ui/modules/cloud/restore/RestoreView.java', '/k0shk0sh_FastAccess/app/src/main/java/com/fastaccess/ui/modules/main/MainMvp.java', '/k0shk0sh_FastAccess/app/src/main/java/com/fastaccess/ui/modules/main/MainPresenter.java', '/k0shk0sh_FastAccess/app/src/main/java/com/fastaccess/ui/modules/main/MainView.java']"
29,Firebase,Firebase,Firebase,MGaetan89/ShowsRage,"['/MGaetan89_ShowsRage/app/src/main/AndroidManifest.xml', '/MGaetan89_ShowsRage/app/src/main/kotlin/com/mgaetan89/showsrage/activity/MainActivity.kt', '/MGaetan89_ShowsRage/app/src/main/kotlin/com/mgaetan89/showsrage/fragment/LogsFragment.kt', '/MGaetan89_ShowsRage/app/src/main/kotlin/com/mgaetan89/showsrage/fragment/ShowsFragment.kt', '/MGaetan89_ShowsRage/app/src/main/kotlin/com/mgaetan89/showsrage/service/LogsAutoUpdateService.kt', '/MGaetan89_ShowsRage/app/src/main/res/xml/settings_about_licenses.xml', '/MGaetan89_ShowsRage/buildSrc/src/main/kotlin/Dependencies.kt', '/MGaetan89_ShowsRage/buildSrc/src/main/kotlin/Versions.kt']"
30,Firebase,Firebase,Firebase,youlookwhat/CloudReader,['/youlookwhat_CloudReader/.gitignore']
33,Firebase,Firebase,Firebase,mgks/Android-SmartWebView,"['/mgks_Android-SmartWebView/.gitignore', '/mgks_Android-SmartWebView/README.md', '/mgks_Android-SmartWebView/app/build.gradle', '/mgks_Android-SmartWebView/app/src/main/AndroidManifest.xml', '/mgks_Android-SmartWebView/app/src/main/assets/offline.html', '/mgks_Android-SmartWebView/app/src/main/java/mgks/os/webview/Firebase.java', '/mgks_Android-SmartWebView/app/src/main/java/mgks/os/webview/MainActivity.java', '/mgks_Android-SmartWebView/documentation/chrome.md', '/mgks_Android-SmartWebView/documentation/fcm.md']"
35,Firebase,Firebase,Firebase,bkhezry/weather,"['/bkhezry_weather/.gitignore', '/bkhezry_weather/README-FA.md', '/bkhezry_weather/README.md', '/bkhezry_weather/app/build.gradle', '/bkhezry_weather/build.gradle']"
36,Firebase,Firebase,Firebase,zpp0196/QQPurify,['/zpp0196_QQPurify/.gitignore']
37,Firebase,Firebase,Firebase,saschpe/android-customtabs,['/saschpe_android-customtabs/.gitignore']
38,Firebase,Firebase,Firebase,TakeoffAndroid/ShimmerContactsView,['/TakeoffAndroid_ShimmerContactsView/.gitignore']
39,Firebase,Firebase,Firebase,AKSW/SPARQL2NL,"['/AKSW_SPARQL2NL/resources/wordnet/dict/.svn/text-base/data.noun.svn-base', '/AKSW_SPARQL2NL/resources/wordnet/dict/.svn/text-base/index.noun.svn-base', '/AKSW_SPARQL2NL/resources/wordnet/dict/.svn/text-base/index.sense.svn-base', '/AKSW_SPARQL2NL/resources/wordnet/dict/data.noun', '/AKSW_SPARQL2NL/resources/wordnet/dict/index.noun', '/AKSW_SPARQL2NL/resources/wordnet/dict/index.sense', '/AKSW_SPARQL2NL/resources/wordnetWindows/data.noun', '/AKSW_SPARQL2NL/resources/wordnetWindows/index.noun', '/AKSW_SPARQL2NL/resources/wordnetWindows/index.sense', '/AKSW_SPARQL2NL/src/main/resources/wordnet/linux/dict/.svn/text-base/data.noun.svn-base', '/AKSW_SPARQL2NL/src/main/resources/wordnet/linux/dict/.svn/text-base/index.noun.svn-base', '/AKSW_SPARQL2NL/src/main/resources/wordnet/linux/dict/.svn/text-base/index.sense.svn-base', '/AKSW_SPARQL2NL/src/main/resources/wordnet/linux/dict/data.noun', '/AKSW_SPARQL2NL/src/main/resources/wordnet/linux/dict/index.noun', '/AKSW_SPARQL2NL/src/main/resources/wordnet/linux/dict/index.sense', '/AKSW_SPARQL2NL/src/main/resources/wordnet/windows/data.noun', '/AKSW_SPARQL2NL/src/main/resources/wordnet/windows/index.noun', '/AKSW_SPARQL2NL/src/main/resources/wordnet/windows/index.sense']"
41,Firebase,Firebase,Firebase,sephiroth74/Tri-State-Checkbox,['/sephiroth74_Tri-State-Checkbox/.gitignore']
44,Firebase,Firebase,Firebase,jruesga/PhotoPhase,['/jruesga_PhotoPhase/build.gradle']
45,Firebase,Firebase,Firebase,gaolhjy/enjoyshop,['/gaolhjy_enjoyshop/.gitignore']
46,Firebase,Firebase,Firebase,TwrpBuilder/twrpbuilder_tree_generator,['/TwrpBuilder_twrpbuilder_tree_generator/build.gradle']
48,Firebase,Firebase,Firebase,TheseYears/CoreLibs,"['/TheseYears_CoreLibs/.gitignore', '/TheseYears_CoreLibs/app/.gitignore']"
49,Firebase,Firebase,Firebase,studiotang/FreeCsdn,['/studiotang_FreeCsdn/app/google-services.json']
50,Firebase,Firebase,Firebase,smilefam/SendBird-Android,"['/smilefam_SendBird-Android/basic/app/build.gradle', '/smilefam_SendBird-Android/basic/app/src/main/AndroidManifest.xml', '/smilefam_SendBird-Android/basic/app/src/main/java/com/sendbird/android/sample/fcm/MyFirebaseMessagingService.java', '/smilefam_SendBird-Android/syncmanager/app/build.gradle', '/smilefam_SendBird-Android/syncmanager/app/src/main/AndroidManifest.xml', '/smilefam_SendBird-Android/syncmanager/app/src/main/java/com/sendbird/syncmanager/sample/fcm/MyFirebaseMessagingService.java', '/smilefam_SendBird-Android/uikit/uikit-sample/build.gradle', '/smilefam_SendBird-Android/uikit/uikit-sample/src/main/AndroidManifest.xml', '/smilefam_SendBird-Android/uikit/uikit-sample/src/main/java/com/sendbird/uikit_messaging_android/fcm/MyFirebaseMessagingService.java']"
51,Firebase,Firebase,Firebase,alirezaashrafi/GoogleMapView,['/alirezaashrafi_GoogleMapView/.gitignore']
52,Firebase,Firebase,Firebase,ykro/android-chat-firebase,"['/ykro_android-chat-firebase/.git/config', '/ykro_android-chat-firebase/.git/logs/refs/remotes/origin/HEAD', '/ykro_android-chat-firebase/.git/logs/refs/heads/master', '/ykro_android-chat-firebase/.git/logs/HEAD', '/ykro_android-chat-firebase/.idea/modules.xml', '/ykro_android-chat-firebase/Nueva_version_de_Firebase.patch', '/ykro_android-chat-firebase/README.md', '/ykro_android-chat-firebase/app/build.gradle', '/ykro_android-chat-firebase/app/src/main/java/edu/galileo/android/androidchat/AndroidChatApplication.java', '/ykro_android-chat-firebase/app/src/main/java/edu/galileo/android/androidchat/addcontact/AddContactRepositoryImpl.java', '/ykro_android-chat-firebase/app/src/main/java/edu/galileo/android/androidchat/chat/ChatRepositoryImpl.java', '/ykro_android-chat-firebase/app/src/main/java/edu/galileo/android/androidchat/chat/entities/ChatMessage.java', '/ykro_android-chat-firebase/app/src/main/java/edu/galileo/android/androidchat/contactlist/ContactListRepositoryImpl.java', '/ykro_android-chat-firebase/app/src/main/java/edu/galileo/android/androidchat/domain/FirebaseHelper.java', '/ykro_android-chat-firebase/app/src/main/java/edu/galileo/android/androidchat/login/LoginRepositoryImpl.java']"
54,Firebase,Firebase,Firebase,pkjvit/Android-Multi-Theme-UI,['/pkjvit_Android-Multi-Theme-UI/.gitignore']
55,Firebase,Firebase,Firebase,sajjadjaved01/iptv,"['/sajjadjaved01_iptv/.idea/libraries/Gradle__com_google_firebase_firebase_analytics_17_2_2_aar.xml', '/sajjadjaved01_iptv/.idea/libraries/Gradle__com_google_firebase_firebase_common_19_3_0_aar.xml', '/sajjadjaved01_iptv/.idea/libraries/Gradle__com_google_firebase_firebase_components_16_0_0_aar.xml', '/sajjadjaved01_iptv/.idea/libraries/Gradle__com_google_firebase_firebase_core_17_2_2_aar.xml', '/sajjadjaved01_iptv/.idea/libraries/Gradle__com_google_firebase_firebase_crash_16_2_1_aar.xml', '/sajjadjaved01_iptv/.idea/libraries/Gradle__com_google_firebase_firebase_iid_20_0_2_aar.xml', '/sajjadjaved01_iptv/.idea/libraries/Gradle__com_google_firebase_firebase_iid_interop_17_0_0_aar.xml', '/sajjadjaved01_iptv/.idea/libraries/Gradle__com_google_firebase_firebase_measurement_connector_18_0_0_aar.xml', '/sajjadjaved01_iptv/app/.gitignore', '/sajjadjaved01_iptv/app/app.iml', '/sajjadjaved01_iptv/app/build.gradle', '/sajjadjaved01_iptv/app/src/main/java/com/muparse/Login.kt']"
56,Firebase,Firebase,Firebase,akexorcist/Android-GoogleDirectionLibrary,['/akexorcist_Android-GoogleDirectionLibrary/.gitignore']
57,Firebase,Firebase,Firebase,google/gcm,['/google_gcm/client-libraries/java/rest-client/src/com/google/android/gcm/server/Sender.java']
58,Firebase,Firebase,Firebase,cyclic-reference/ddlc-jetbrains-theme,['/cyclic-reference_ddlc-jetbrains-theme/src/main/resources/associations/file.association.json']
61,Firebase,Firebase,Firebase,Adventech/sabbath-school-android,"['/Adventech_sabbath-school-android/app/build.gradle', '/Adventech_sabbath-school-android/app/src/androidTest/java/com/cryart/sabbathschool/loggedin/SSLessonsActivityTest.java', '/Adventech_sabbath-school-android/app/src/androidTest/java/com/cryart/sabbathschool/loggedin/SSQuarterliesActivityTest.java', '/Adventech_sabbath-school-android/app/src/androidTest/java/com/cryart/sabbathschool/loggedin/SSReadingActivityTest.java', '/Adventech_sabbath-school-android/app/src/debug/AndroidManifest.xml', '/Adventech_sabbath-school-android/app/src/main/AndroidManifest.xml', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/SSApplication.kt', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/data/di/FirebaseModule.kt', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/misc/SSEvent.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/misc/SSReminder.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/misc/SSReminderService.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/model/SSBibleVerses.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/model/SSComment.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/model/SSDay.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/model/SSLesson.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/model/SSLessonInfo.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/model/SSQuarterly.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/model/SSQuarterlyInfo.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/model/SSQuarterlyLanguage.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/model/SSRead.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/model/SSReadComments.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/model/SSReadHighlights.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/model/SSSuggestion.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/service/SSNotificationService.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/ui/account/AccountViewModel.kt', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/ui/splash/SplashViewModel.kt', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/view/SSAboutActivity.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/view/SSBaseActivity.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/view/SSBibleVersesActivity.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/view/SSReadingActivity.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/viewmodel/SSLessonsViewModel.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/viewmodel/SSLoginViewModel.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/viewmodel/SSQuarterliesViewModel.java', '/Adventech_sabbath-school-android/app/src/main/java/com/cryart/sabbathschool/viewmodel/SSReadingViewModel.java']"
63,Firebase,Firebase,Firebase,lgd8981289/IMoocMusic,['/lgd8981289_IMoocMusic/.gitignore']
65,Firebase,Firebase,Firebase,FrogSquare/GodotGoogleService,"['/FrogSquare_GodotGoogleService/README.md', '/FrogSquare_GodotGoogleService/config.py']"
66,Firebase,Firebase,Firebase,dev-ritik/EmojiReactionView,['/dev-ritik_EmojiReactionView/.gitignore']
67,Firebase,Firebase,Firebase,florent37/ShapeOfView,['/florent37_ShapeOfView/.gitignore']
68,Firebase,Firebase,Firebase,k0shk0sh/FastHub,"['/k0shk0sh_FastHub/app/build.gradle', '/k0shk0sh_FastHub/app/src/main/AndroidManifest.xml', '/k0shk0sh_FastHub/app/src/main/java/com/fastaccess/App.java', '/k0shk0sh_FastHub/app/src/main/java/com/fastaccess/provider/fcm/PushNotificationService.java', '/k0shk0sh_FastHub/app/src/main/java/com/fastaccess/provider/tasks/notification/NotificationSchedulerJobTask.java', '/k0shk0sh_FastHub/app/src/main/java/com/fastaccess/ui/modules/main/MainActivity.java', '/k0shk0sh_FastHub/app/src/main/java/com/fastaccess/ui/modules/main/premium/PremiumPresenter.kt', '/k0shk0sh_FastHub/app/src/main/java/com/fastaccess/ui/modules/repos/wiki/WikiPresenter.kt', '/k0shk0sh_FastHub/app/src/main/java/com/fastaccess/ui/modules/trending/fragment/TrendingFragmentPresenter.kt', '/k0shk0sh_FastHub/build.gradle']"
69,Firebase,Firebase,Firebase,fengberd/PocketServer,"['/fengberd_PocketServer/app/src/main/res/values-ko/strings.xml', '/fengberd_PocketServer/app/src/main/res/values-ru/strings.xml', '/fengberd_PocketServer/app/src/main/res/values/strings.xml']"
74,Firebase,Firebase,Firebase,mix-it/mixit,"['/mix-it_mixit/src/main/resources/data/talks_2020.json', '/mix-it_mixit/src/test/resources/import/2020-papercall-export.json']"
75,Firebase,Firebase,Firebase,0xbad1d3a5/Kaku,['/0xbad1d3a5_Kaku/.gitignore']
76,Firebase,Firebase,Firebase,orhanobut/tracklytics,"['/orhanobut_tracklytics/README.MD', '/orhanobut_tracklytics/tracklytics-runtime/src/main/java/com/orhanobut/tracklytics/EventSubscriber.java']"
77,Firebase,Firebase,Firebase,enthusiast94/kafka-visualizer,['/enthusiast94_kafka-visualizer/web-react/src/main/react-app/README.md']
81,Firebase,Firebase,Firebase,googlecreativelab/ar-drawing-java,['/googlecreativelab_ar-drawing-java/.gitignore']
82,Firebase,Firebase,Firebase,TutorialsAndroid/CrashX,['/TutorialsAndroid_CrashX/README.md']
83,Firebase,Firebase,Firebase,gaolhjy/cniao5,['/gaolhjy_cniao5/.gitignore']
84,Firebase,Firebase,Firebase,vinaygaba/RubberStamp,['/vinaygaba_RubberStamp/.gitignore']
87,Firebase,Firebase,Firebase,KODDevYouTube/ChatAppTutorial,"['/KODDevYouTube_ChatAppTutorial/README.md', '/KODDevYouTube_ChatAppTutorial/app/build.gradle', '/KODDevYouTube_ChatAppTutorial/app/src/main/AndroidManifest.xml', '/KODDevYouTube_ChatAppTutorial/app/src/main/java/com/koddev/chatapp/Adapter/MessageAdapter.java', '/KODDevYouTube_ChatAppTutorial/app/src/main/java/com/koddev/chatapp/Adapter/UserAdapter.java', '/KODDevYouTube_ChatAppTutorial/app/src/main/java/com/koddev/chatapp/Fragments/APIService.java', '/KODDevYouTube_ChatAppTutorial/app/src/main/java/com/koddev/chatapp/Fragments/ChatsFragment.java', '/KODDevYouTube_ChatAppTutorial/app/src/main/java/com/koddev/chatapp/Fragments/ProfileFragment.java', '/KODDevYouTube_ChatAppTutorial/app/src/main/java/com/koddev/chatapp/Fragments/UsersFragment.java', '/KODDevYouTube_ChatAppTutorial/app/src/main/java/com/koddev/chatapp/LoginActivity.java', '/KODDevYouTube_ChatAppTutorial/app/src/main/java/com/koddev/chatapp/MainActivity.java', '/KODDevYouTube_ChatAppTutorial/app/src/main/java/com/koddev/chatapp/MessageActivity.java', '/KODDevYouTube_ChatAppTutorial/app/src/main/java/com/koddev/chatapp/Notifications/MyFirebaseIdService.java', '/KODDevYouTube_ChatAppTutorial/app/src/main/java/com/koddev/chatapp/Notifications/MyFirebaseMessaging.java', '/KODDevYouTube_ChatAppTutorial/app/src/main/java/com/koddev/chatapp/RegisterActivity.java', '/KODDevYouTube_ChatAppTutorial/app/src/main/java/com/koddev/chatapp/ResetPasswordActivity.java', '/KODDevYouTube_ChatAppTutorial/app/src/main/java/com/koddev/chatapp/StartActivity.java']"
88,Firebase,Firebase,Firebase,material-foundation/material-remixer-android,"['/material-foundation_material-remixer-android/README.md', '/material-foundation_material-remixer-android/docs/CONFIGURE_FIREBASE.md', '/material-foundation_material-remixer-android/docs/CONFIGURE_UI.md', '/material-foundation_material-remixer-android/docs/EXTENDING_REMIXER.md', '/material-foundation_material-remixer-android/docs/PROJECT_STRUCTURE.md', '/material-foundation_material-remixer-android/docs/USING_REMIXER.md', '/material-foundation_material-remixer-android/remixer_example/build.gradle', '/material-foundation_material-remixer-android/remixer_example/src/main/java/com/google/android/apps/remixer/RemixerApplication.java', '/material-foundation_material-remixer-android/remixer_storage/build.gradle', '/material-foundation_material-remixer-android/remixer_storage/proguard-rules.pro', '/material-foundation_material-remixer-android/remixer_storage/src/main/java/com/google/android/libraries/remixer/storage/FirebaseRemoteControllerSyncer.java', '/material-foundation_material-remixer-android/remixer_storage/src/main/java/com/google/android/libraries/remixer/storage/FirebaseSerializationHelper.java']"
90,Firebase,Firebase,Firebase,zhanghai/MaterialFiles,"['/zhanghai_MaterialFiles/PRIVACY.md', '/zhanghai_MaterialFiles/app/build.gradle']"
94,Firebase,Firebase,Firebase,ePADD/epadd,['/ePADD_epadd/research/variants/variantToTitleToWeight.txt']
95,Firebase,Firebase,Firebase,Paytm-Payments/Paytm_Android_App_Kit,"['/Paytm-Payments_Paytm_Android_App_Kit/Payment_Web_Sdk/SampleMerchantApp/.gitignore', '/Paytm-Payments_Paytm_Android_App_Kit/Payment_Web_Sdk/SampleMerchantApp/app/.gitignore']"
96,Firebase,Firebase,Firebase,spark/spark-sdk-android,['/spark_spark-sdk-android/.gitignore']
97,Firebase,Firebase,Firebase,kiwix/kiwix-android,"['/kiwix_kiwix-android/app/lint-baseline.xml', '/kiwix_kiwix-android/custom/lint-baseline.xml', '/kiwix_kiwix-android/google.json']"
98,Firebase,Firebase,Firebase,jcoreyes/NLQA,"['/jcoreyes_NLQA/QuestionClassification/resources/wordnet/data.noun', '/jcoreyes_NLQA/QuestionClassification/resources/wordnet/dict/data.noun', '/jcoreyes_NLQA/QuestionClassification/resources/wordnet/dict/index.noun', '/jcoreyes_NLQA/QuestionClassification/resources/wordnet/dict/index.sense', '/jcoreyes_NLQA/QuestionClassification/resources/wordnet/index.noun', '/jcoreyes_NLQA/QuestionClassification/resources/wordnet/index.sense', '/jcoreyes_NLQA/quepy_test/nltkdata/corpora/wordnet/data.noun', '/jcoreyes_NLQA/quepy_test/nltkdata/corpora/wordnet/index.noun', '/jcoreyes_NLQA/quepy_test/nltkdata/corpora/wordnet/index.sense']"
100,Firebase,Firebase,Firebase,pengwei1024/12306XposedPlugin,['/pengwei1024_12306XposedPlugin/.gitignore']
101,Firebase,Firebase,Firebase,athkalia/Just-Another-Android-App,"['/athkalia_Just-Another-Android-App/.teamcity/JustAnotherAndroidApp/pluginData/metaRunners/JustAnotherAndroidApp_RunEspressoTestsInFirebase.xml', '/athkalia_Just-Another-Android-App/README.md', '/athkalia_Just-Another-Android-App/app/build.gradle', '/athkalia_Just-Another-Android-App/app/src/espressoIntegrationTests/java/com/example/util/EspressoTestHelper.java']"
